Mapped Trait	Mapped EFO	Study Identifier	Variant Type	Trait Type	Biological Domain	Set	Reported Trait	Trait Cosine Similarity	Population Cohort	Population Sample Size	PUBMED ID	Gene Count	Gene List	SynIntol	LOEUF	Length	nGO	sHet	mrna	n_mrna	CDS	ExpLoF	PhyloP
cholesterol to total lipids in medium HDL percentage	EFO_0022237	GCST90269737	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in medium HDL percentage (UKB data field 23640)	0.9295461	UKB	88329.0	36764567	27	8882,4023,51129,338,9415,85440,2646,8854,146894,7158,22837,4299,55167,10351,80790,144347,10726,84870,3931,1643,2590,3626,9159,5819,57794,158219,64116	0.2686	0.658	65542.0	17.0	0.02126	14.184981851851855	53.0	1446.0	54.131	1.026
cholesterol to total lipids in large HDL percentage	EFO_0022234	GCST90269732	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in large HDL percentage (UKB data field 23635)	0.9294033	UKB	88329.0	36764567	25	348,8882,4023,2646,51085,9415,51129,85440,4018,1952,7158,22837,146894,9688,9114,8567,134359,144347,80790,6854,4299,949,84870,29958,10144	0.27523	0.746	80810.0	16.0	0.02258275	13.120146296296296	53.0	1672.0	61.411	1.026
cholesterol to total lipids in very large HDL percentage	EFO_0022243	GCST90269727	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in very large HDL percentage (UKB data field 23630)	0.92829674	UKB	88307.0	36764567	12	8854,348,85440,9388,6927,102,432,84310,28,57572,949,5445	0.110176	0.8765000000000001	52987.5	21.0	0.00980722	10.608783861111112	53.0	1163.0	54.792	1.024
free cholesterol in very small VLDL measurement	EFO_0022275	GCST90302154	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in very small VLDL	0.92811847	Multiple	136016.0	38448586	27	348,8854,255738,9415,85440,64240,9785,3482,8701,2646,29881,23460,84310,350,126695,4023,5265,7227,388323,675,28983,6484,144108,55219,6311,29116,54899	0.27523	0.803	63193.0	17.0	0.00980722	11.262061187037038	50.0	1654.0	59.226	1.026
phospholipids in IDL measurement	EFO_0022164	GCST90301983	Common	Continuous	Lipid Measurement	Initial	Phospholipids in IDL	0.92712665	Multiple	136016.0	38448586	29	348,8854,9415,64241,23383,85440,9785,29881,3482,126695,55219,350,6484,84310,144108,85363,19,5265,9388,675,7227,28983,8882,1071,57523,10444,84875,8647,64757	0.32496	0.762	44492.0	20.0	0.00980722	12.01094651851852	52.0	1654.0	67.985	1.026
cholesterol in very small VLDL measurement	EFO_0022231	GCST90302150	Common	Continuous	Lipid Measurement	Initial	Total cholesterol in very small VLDL	0.9264411	Multiple	136016.0	38448586	26	348,8854,255738,9415,338,23383,85440,64241,8882,23460,8701,3482,29881,6484,5265,84310,9785,7227,28983,350,126695,144108,675,29116,3837,2646	0.41420500000000005	0.7945	43568.0	19.5	0.01372241	10.348998100000001	50.5	1950.0	61.781499999999994	1.026
free cholesterol in large HDL measurement	EFO_0022157	GCST90301999	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in large HDL	0.9263302	Multiple	136016.0	38448586	33	8854,4023,8882,9415,348,146894,51129,338,2590,51085,10062,2646,949,57610,57678,57572,23499,19,64757,54887,7227,84870,3117,326625,23161,53345,4018,7332,220972,5184,6311,8398,84083	0.25463	0.815	74587.0	17.0	0.00980722	14.616154444444444	53.0	1496.0	55.721	1.026
free cholesterol in large VLDL measurement	EFO_0022265	GCST90302023	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in large VLDL	0.92620945	Multiple	136016.0	38448586	21	8882,2646,4018,51085,53345,85440,51129,146894,26762,3107,2590,22837,4299,221035,286046,54622,201625,5184,6597,8567,196	-0.21197	0.884	118494.0	16.0	0.00940419	13.120146296296296	53.0	1716.0	54.131	1.011
total lipids in medium LDL	EFO_0022180	GCST90269635	Common	Continuous	Lipid Measurement	Initial	Total lipids in medium LDL (UKB data field 23538)	0.9260655	UKB	88329.0	36764567	20	10452,4059,1952,338,255738,9784,8882,53345,28,64241,3250,6484,432,3482,85440,8347,57523,3083,23460,3672	-0.150865	0.889	25809.5	18.0	0.00782402	10.836867417592593	49.0	1902.5	62.2265	1.024
cardiac arrhythmia	EFO_0004269	GCST90013707	Common	Categorical	Cardiovascular	Initial	Arrhythmia	0.9258577	BBJ	212453.0	32514122	13	9148,463,8497,23316,139411,857,10529,6910,3752,9472,4137,4666,83938	-0.2399	0.675	133807.0	24.0	0.109107	8.648604509259256	42.0	1929.0	70.232	1.026
phospholipids in small LDL measurement	EFO_0022297	GCST90302099	Common	Continuous	Lipid Measurement	Initial	Phospholipids in small LDL	0.92485404	Multiple	136016.0	38448586	28	348,255738,8882,2646,23383,64241,85440,9785,8701,9415,9388,126695,29881,3482,9103,23461,55219,23495,6484,2217,3172,28983,1742,54899,7227,5468,144108,3837	0.27523	0.706	42302.0	20.0	0.029589	11.407492518518517	53.0	1842.0	61.411	1.026
cholesterol to total lipids in medium LDL percentage	EFO_0022238	GCST90269717	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in medium LDL percentage (UKB data field 23620)	0.9245235	UKB	88329.0	36764567	10	746,8882,6597,4023,28,255738,161823,23042,2590,9388	0.1102205	0.979	40616.0	21.0	0.00711447	18.510566018518517	53.5	1404.0	53.997	1.1355
free cholesterol in small LDL measurement	EFO_0022271	GCST90302095	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in small LDL	0.9236641	Multiple	136016.0	38448586	37	348,3949,255738,5265,64241,19,2646,23383,9415,6311,3250,8854,8701,126695,9103,23461,29881,3482,23495,55219,29116,85440,6484,57523,1742,144108,350,3172,5468,54899,6205,64757,160897,10444,54520,675,85363	0.16623	0.774	44447.0	19.0	0.0206853	12.28416823148148	53.0	1748.0	60.0085	1.026
cholesterol to total lipids in small LDL percentage	EFO_0022241	GCST90269722	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in small LDL percentage (UKB data field 23625)	0.92285776	UKB	88329.0	36764567	10	8854,63935,28,255738,53345,9388,64241,6484,3500,338	0.063051	0.883	42644.0	23.5	0.012658925	7.291636454629629	29.0	1350.5	58.606	1.0075
free cholesterol in very large HDL measurement	EFO_0022273	GCST90302130	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in very large HDL	0.92235565	Multiple	136016.0	38448586	42	9415,4023,8882,9388,19,51129,51085,146894,348,10062,338,57610,2590,6311,57678,949,57572,64241,64757,22837,7332,255738,64116,158219,1374,1615,4018,89910,1810,23161,115548,90639,5879,5468,220972,55607,2646,54887,221035,84870,7227,25777	0.24625999999999998	0.7284999999999999	75679.0	17.0	0.0175115	12.565546407407407	53.0	1533.0	54.926	1.054
free cholesterol in very large VLDL measurement	EFO_0022274	GCST90302142	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in very large VLDL	0.9223231	Multiple	136016.0	38448586	15	8882,2646,4018,53345,85440,51085,51129,146894,3107,4299,2590,286046,19,64241,255738	-0.34716	0.963	31349.0	17.0	0.0035998	6.997868433333334	47.0	1878.0	58.606	0.959
cholesterol to total lipids in large LDL percentage	EFO_0022235	GCST90269712	Common	Continuous	Lipid Measurement	Initial	Cholesterol to total lipids in large LDL percentage (UKB data field 23615)	0.92175984	UKB	88329.0	36764567	18	4059,5819,8854,9415,4023,8882,1952,255738,2646,51085,64241,19,4607,10452,4299,3931,22837,9688	-0.14251000000000003	0.6685000000000001	37198.5	23.0	0.02258275	18.937517685185192	52.5	1950.0	64.2465	1.026
docosahexaenoic acid to total fatty acids percentage	EFO_0022262	GCST90269554	Common	Continuous	Lipid Measurement	Initial	Docosahexaenoic acid to total fatty acids percentage (UKB data field 23457)	0.92170024	UKB	88268.0	36764567	10	23042,1374,8854,4023,4018,221037,745,338,4137,2590	0.14471499999999998	0.6074999999999999	133300.0	22.0	0.03550635	21.54912846111111	48.0	1959.0	85.81049999999999	1.0795
generalised epilepsy	EFO_0005917	GCST007353	Common	Categorical	Neurological	Initial	Generalized epilepsy	0.92100906		30571.0	30531953	5	5099,5796,80279,114818,2555	0.071193	0.49	323432.0	28.0	0.0896508	7.735152655555557	52.0	2628.0	69.059	1.138
major depressive disorder	MONDO_0002009	GCST90328131	Common	Categorical	Psychiatric	Initial	Major depressive disorder (broad)	0.91964954	CKB|CONVERGE|23andMe|other|WHI|UKB|BioMe|BBJ|MVP|AGDS|GERA|JHS|Vanderbilt|HCHS|SOL|PGC|Army STARRS|G&H|HIS|DCHS|DNHS	1820689.0	38177345	107	22986,54664,1996,3831,473,2915,153396,56853,6925,5079,23245,54715,8379,1630,4898,51319,200942,729993,9870,83989,26251,84186,1993,145173,64326,747,57706,2272,4522,10463,341019,27445,5874,389432,4045,2099,84181,80031,22989,9760,6660,137868,56992,9649,51334,3064,54805,199699,9569,5101,7187,92017,2890,6252,64839,8428,4915,57451,28981,2066,84239,53942,493860,9420,340481,1007,5913,26137,51268,51347,10125,27332,5027,2775,5727,27303,154075,89927,104,26058,55553,266722,23613,338645,51473,9541,79832,5045,9745,1012,40,4850,81603,338707,2590,23359,9960,255239,4482,5187,401145,154215,6886,9378,4054,3084,10564	-0.14427	0.546	221110.0	16.0	0.0762181	6.3887821851851845	46.0	1748.0	56.194	1.126
polyunsaturated fatty acids to monounsaturated fatty acids ratio	EFO_0022302	GCST90269555	Common	Continuous	Lipid Measurement	Initial	Polyunsaturated fatty acids to monounsaturated fatty acids ratio (UKB data field 23458)	0.9191768	UKB	88268.0	36764567	18	8882,4023,2646,4018,51085,51129,63935,85440,221037,2590,7158,1374,146894,22837,5340,4299,5819,7439	0.217165	0.6865	58722.5	17.5	0.02323915	16.018326574074074	53.0	1881.0	71.7735	0.99825
free cholesterol in large LDL measurement	EFO_0022176	GCST90302011	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in large LDL	0.9162308	Multiple	136016.0	38448586	34	348,255738,3949,8854,9415,64241,23383,23460,8701,83449,29881,5265,19,4018,55219,126695,350,6484,85363,144108,85440,57523,84310,675,10444,64757,160897,9388,7227,7629,84875,8647,8882,221037	0.214305	0.8965000000000001	47769.0	18.0	0.006451145	10.442335982407407	52.0	2040.0	74.868	1.026
phospholipids in large LDL measurement	EFO_0022174	GCST90302015	Common	Continuous	Lipid Measurement	Initial	Phospholipids in large LDL	0.91536593	Multiple	136016.0	38448586	31	348,255738,3949,8854,23383,9415,64241,9785,8701,23460,29881,19,8882,3482,126695,5265,55219,2646,6484,9388,85363,144108,675,5468,7227,350,28983,57523,84310,10444,3172	0.27523	0.803	50141.0	21.0	0.00980722	11.407492518518517	51.0	1842.0	61.504	1.026
saturated fatty acids to total fatty acids percentage	EFO_0022305	GCST90269552	Common	Continuous	Lipid Measurement	Initial	Saturated fatty acids to total fatty acids percentage (UKB data field 23455)	0.91053843	UKB	88268.0	36764567	10	2646,8854,9415,64757,125,4018,9033,80339,57678,4855	-0.08209500000000002	1.008	41405.5	20.5	0.00219905	5.652079379629628	38.0	1662.0	56.055	1.0056
polyunsaturated fatty acids to total fatty acids percentage	EFO_0022303	GCST90269550	Common	Continuous	Lipid Measurement	Initial	Polyunsaturated fatty acids to total fatty acids percentage (UKB data field 23453)	0.9103377	UKB	88268.0	36764567	13	2646,4023,8882,51129,63925,1374,221037,85440,22837,2590,5340,8854,146894	0.25463	0.709	65542.0	17.0	0.0193464	13.120146296296296	52.0	1716.0	66.434	1.026
sex hormone-binding globulin measurement	EFO_0004696	GCST90025958	Common	Continuous	Endocrine	Initial	Sex hormone-binding globulin levels	0.9094652	UKB	397043.0	34226706	15	6462,9971,3172,81579,54908,162417,3083,4782,5140,57521,5629,5066,26137,84938,28999	-0.15613	0.863	77146.0	19.0	0.0133706	4.742596481481481	40.0	1391.0	47.386	1.066142857142857
triglycerides in HDL measurement	EFO_0022317	GCST90269507	Common	Continuous	Lipid Measurement	Initial	Triglycerides in HDL (UKB data field 23410)	0.9092443	UKB	88329.0	36764567	17	8882,8854,348,2646,4023,51085,51129,7158,63935,9415,22837,19,4299,5340,57794,10452,6927	0.14206	0.581	44491.0	22.0	0.0391555	20.391359074074074	53.0	1857.0	63.367	1.026
migraine disorder	MONDO_0005277	GCST90000016	Common	Categorical	Neurological	Initial	Migraine	0.9086365	GERA | UKB	554569.0	34294844	10	4035,63976,9457,221692,23245,79783,4209,797,10335,55092	-0.18053	0.6054999999999999	149121.0	10.5	0.0313175	9.568716814814811	46.5	1552.0	60.471000000000004	1.1285833333333333
spinal stenosis	EFO_0007490	GCST90018922	Common	Categorical	Skeletal	Initial	Spinal canal stenosis	0.9082782	BBJ|UKB|FinnGen	633513.0	34594039	7	4088,2673,5139,23245,4678,392636,1780	-0.12651	0.647	320046.0	16.0	0.0428237	11.824516161111116	46.0	1651.0	52.178	1.1231666666666664
free cholesterol in VLDL measurement	EFO_0022276	GCST90269517	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in VLDL (UKB data field 23420)	0.902143	UKB	88329.0	36764567	19	8882,2646,85440,53345,51085,8854,4018,3250,4023,22837,7158,64241,2590,4299,3482,3083,84870,10726,54536	-0.34716	0.788	80810.0	17.0	0.0211657	9.942770355555556	50.0	1978.0	62.059	1.026
sleep apnea	EFO_0003877	GCST90267361	Common	Categorical	Neurological	Initial	Sleep apnea syndrome	0.9014576	UKB|FinnGen|AGDS|CLSA|PHB	362638.0	36525587	3	79068,84678,50810	-0.067619	0.266	153183.0	28.0	0.212767	8.663537277777777	53.0	1049.0	58.81	1.1105
FEV/FVC ratio	EFO_0004713	GCST90244094	Common	Continuous	Respiratory	Initial	Lung function (FEV1/FVC)	0.900171	AHS|ALSPAC|ARIC|B58C|BHS|CHS|CKB|Croatia|EPIC-Norfolk|EXCEED|FHS|FinnTwin|GS:SFHS|Health2000|HCHS|HUNT|KORA|LBC|MESA|NEO|NFBC|Orcades|PIVUS|QBB|Raine|RS|SAPALDIA|SHIP|TwinsUK|UKB|UKHLS|VIKING|YFS	588452.0	36914875	192	177,57211,79875,255743,10144,8872,8728,4237,10428,8425,4324,7148,3672,3790,5727,83890,81492,6239,255426,5691,56479,23245,169792,57616,196951,79961,652,7586,55532,146279,54828,51232,154,91179,3705,3106,83872,1832,92737,10099,9686,1953,55785,83988,84168,7049,776,57553,80144,6441,860,1295,9960,9902,286097,818,140688,55691,91,3685,685,10664,54810,79068,3646,253782,60312,2261,4010,7476,9792,9509,2065,64778,9318,9644,57567,4330,85004,90427,23293,81578,7042,3839,6900,64927,8516,140628,9736,10903,57188,84557,864,9148,26059,115019,6764,6506,84898,23348,3696,152579,2267,221037,56913,6899,8224,283455,64324,121536,91653,4233,3069,9846,4088,26010,800,81619,49855,55917,2697,79018,84959,150365,10395,79670,145567,8935,23370,6469,7155,80332,4052,7319,22864,60468,22828,283349,23545,2017,51684,1284,23258,11143,9472,10529,80155,1607,4053,374986,55585,2309,11124,21,10813,55843,5495,2104,3918,84441,4627,57669,22919,3061,221178,196446,221294,7168,7030,146713,93627,54504,64219,26112,5137,133522,129080,55770,1655,83992,2321,6660,10301,65055,84456,8943,8828,54584,91851,2120,8631,4703	0.029082999999999998	0.617	126657.5	14.0	0.0475311	12.310704435185183	52.0	1813.0	60.1445	1.0764444444444443
cholesterol in medium VLDL measurement	EFO_0022225	GCST90269602	Common	Continuous	Lipid Measurement	Initial	Cholesterol in medium VLDL (UKB data field 23505)	0.8988621	UKB	88329.0	36764567	20	4059,10452,1952,255738,53345,28,64241,23460,746,8854,3117,8882,3250,6580,85440,6597,6484,10349,7227,3949	0.059744	1.0425	39824.5	20.0	0.00672313	10.602415771296297	47.5	1686.5	60.332499999999996	1.0253333333333332
free cholesterol in HDL measurement	EFO_0022264	GCST90269519	Common	Continuous	Lipid Measurement	Initial	Free cholesterol in HDL (UKB data field 23422)	0.89846486	UKB	88329.0	36764567	25	8854,4023,746,9388,51129,338,146894,84166,23387,949,19,57678,2590,158219,5913,64116,64757,7227,57572,3931,84310,283446,220972,7332,80790	-0.10754	0.747	94046.0	17.0	0.0136154	12.01094651851852	52.0	1428.0	53.863	1.044
hepatitis B virus infection	EFO_0004197	GCST005004	Common	Categorical	Infection	Initial	Hepatitis B	0.89762586		219605.0	28928442	15	3122,23704,51733,2903,64478,5087,27067,6695,775,90523,146862,9201,4645,2762,169981	0.0656715	0.6085	343712.0	20.0	0.0475035	6.961290783333332	48.0	1320.0	60.179500000000004	1.134
cholesterol in IDL measurement	EFO_0021899	GCST90269623	Common	Continuous	Lipid Measurement	Initial	Cholesterol in IDL (UKB data field 23526)	0.8973421	UKB	88329.0	36764567	20	5819,255738,746,1952,8854,28,10452,64241,53345,9388,221037,51085,57678,146894,64757,6927,6597,6311,6580,6484	-0.03740450000000001	0.8225	37694.5	22.0	0.0182978	9.669927043518518	47.5	1537.0	52.164	1.026
Nasal cavity polyp	EFO_1000391	GCST90018883	Common	Categorical	EarNoseThroat	Initial	Nasal polyps	0.8970323	BBJ|UKB|FinnGen	602065.0	34594039	10	60468,246,27086,26058,29785,3662,23274,338645,6899,2879	-0.160215	0.671	95098.0	27.0	0.074016	7.399350398148147	34.5	1601.0	55.8155	1.033
phospholipids in very large VLDL measurement	EFO_0022299	GCST90269587	Common	Continuous	Lipid Measurement	Initial	Phospholipids in very large VLDL (UKB data field 23490)	0.89601564	UKB	88329.0	36764567	22	8882,4023,4018,338,2646,51085,85440,51129,57794,341,2590,7158,146894,84870,4299,3083,8289,221037,53345,54536,6804,80790	0.1213755	0.7695000000000001	55016.5	17.0	0.0201369	14.756913333333333	52.5	1908.0	62.5725	1.0321
cholesterol in medium HDL measurement	EFO_0021903	GCST90269665	Common	Continuous	Lipid Measurement	Initial	Cholesterol in medium HDL (UKB data field 23568)	0.89541215	UKB	88329.0	36764567	30	4023,8854,9388,338,51129,348,84166,146894,23387,2590,3172,746,949,57572,84811,64116,57678,79841,19,64757,7227,29956,158219,150223,220972,2646,3931,80790,84870,147007	-0.139485	0.8105	64370.5	16.0	0.011711309999999999	11.377280296296297	52.5	1425.5	53.218	1.0436
cirrhosis of liver	EFO_0001422	GCST90319878	Common	Categorical	Hepatic	Initial	Cirrhosis	0.8925115	FinnGen|CHB|UKB|MyCode|IHCS|AllOfUs|deCODE|EB|BBJ	1800312.0	38632349	6	80339,57794,5265,345275,64757,80201	-0.16009515	1.142	37001.5	14.5	0.00152732	3.6938302425925915	37.0	1339.5	36.589	1.0084374999999999
cholesterol in large VLDL measurement	EFO_0021902	GCST90269595	Common	Continuous	Lipid Measurement	Initial	Cholesterol in large VLDL (UKB data field 23498)	0.89098775	UKB	88329.0	36764567	21	8882,4023,85440,53345,51129,3949,22837,2590,4018,7158,146894,3083,4299,84870,3250,8289,6804,3482,54536,3699,221037	0.056437	0.788	80810.0	16.0	0.0191081	15.43998074074074	53.0	2030.0	66.434	1.026
infectious mononucleosis	EFO_0007326	GCST005002	Common	Categorical	Infection	Initial	Mononucleosis	0.8906692		85903.0	28928442	15	56981,10954,146,51564,80790,146713,6262,170679,146754,64847,5789,108,8454,9228,1769	0.1627	0.425	158202.0	13.0	0.0719069	7.087882609259257	38.0	2377.0	100.09	1.1042
cholesterol in very large VLDL measurement	EFO_0022230	GCST90269588	Common	Continuous	Lipid Measurement	Initial	Cholesterol in very large VLDL (UKB data field 23491)	0.8898852	UKB	88329.0	36764567	19	8882,4023,338,2646,4018,85440,51085,3949,22837,2590,7158,84870,4299,3083,3482,8289,6804,54536,3699	0.056437	0.751	80810.0	20.0	0.0211657	15.43998074074074	53.0	2455.0	74.485	1.026
cholesterol in small VLDL measurement	EFO_0022228	GCST90269609	Common	Continuous	Lipid Measurement	Initial	Cholesterol in small VLDL (UKB data field 23512)	0.88892096	UKB	88329.0	36764567	23	338,8882,1952,8854,255738,9784,53345,85440,28,10452,64241,23460,3250,3482,51085,6484,7227,3949,4023,5819,10349,2590,4299	-0.14716	0.762	44402.0	22.0	0.02176595	13.036009055555557	50.0	2022.0	69.062	0.99925
